USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17001000100	12937185	22042	       4.995	       0.009	 39.9494928	 -91.3524345                                                                                                                        
IL	17001000201	3206338	0	       1.238	       0.000	 39.9561156	 -91.3866911                                                                                                                             
IL	17001000202	1514958	0	       0.585	       0.000	 39.9417364	 -91.3856554                                                                                                                             
IL	17001000400	4457602	218553	       1.721	       0.084	 39.9524634	 -91.4096233                                                                                                                        
IL	17001000500	1262516	0	       0.487	       0.000	 39.9435820	 -91.3985437                                                                                                                             
IL	17001000600	2730589	0	       1.054	       0.000	 39.9312981	 -91.3825672                                                                                                                             
IL	17001000700	1355938	238024	       0.524	       0.092	 39.9325684	 -91.4079983                                                                                                                        
IL	17001000800	2367243	970500	       0.914	       0.375	 39.9166430	 -91.4120040                                                                                                                        
IL	17001000900	1797928	0	       0.694	       0.000	 39.9155218	 -91.3996396                                                                                                                             
IL	17001001001	1629643	0	       0.629	       0.000	 39.9210276	 -91.3851084                                                                                                                             
IL	17001001002	3076703	0	       1.188	       0.000	 39.9088679	 -91.3876324                                                                                                                             
IL	17001001100	12840513	0	       4.958	       0.000	 39.9153086	 -91.3577026                                                                                                                            
IL	17001010100	574605966	17665186	     221.857	       6.821	 40.1138124	 -91.3281543                                                                                                                    
IL	17001010200	387531130	276967	     149.627	       0.107	 40.1081128	 -91.0341343                                                                                                                      
IL	17001010300	772047085	1339952	     298.089	       0.517	 39.8818992	 -91.0687749                                                                                                                     
IL	17001010400	176826473	259501	      68.273	       0.100	 39.9817277	 -91.2573158                                                                                                                      
IL	17001010500	48591218	10803018	      18.761	       4.171	 39.9991475	 -91.4212596                                                                                                                     
IL	17001010600	206193263	9990634	      79.612	       3.857	 39.8536482	 -91.3329959                                                                                                                     
IL	17003957600	282780003	5088846	     109.182	       1.965	 37.2939184	 -89.3521215                                                                                                                     
IL	17003957700	275565665	29944878	     106.397	      11.562	 37.1322588	 -89.3422085                                                                                                                    
IL	17003957800	41538930	4906094	      16.038	       1.894	 37.0610007	 -89.2058275                                                                                                                      
IL	17003957900	10112372	4297345	       3.904	       1.659	 36.9879616	 -89.1636803                                                                                                                      
IL	17005951200	250843606	3271859	      96.851	       1.263	 38.9687817	 -89.3645755                                                                                                                     
IL	17005951300	15731345	0	       6.074	       0.000	 38.8862489	 -89.3900338                                                                                                                            
IL	17005951400	327150600	209359	     126.314	       0.081	 38.9243591	 -89.5379748                                                                                                                      
IL	17005951500	391193157	2945135	     151.041	       1.137	 38.8040049	 -89.3970644                                                                                                                     
IL	17007010100	8929973	459708	       3.448	       0.177	 42.2675556	 -88.8523167                                                                                                                        
IL	17007010200	5266166	92270	       2.033	       0.036	 42.2487471	 -88.8324850                                                                                                                         
IL	17007010300	3938550	864	       1.521	       0.000	 42.2435995	 -88.8528182                                                                                                                           
IL	17007010400	216839072	751126	      83.722	       0.290	 42.2035845	 -88.8275388                                                                                                                      
IL	17007010500	138476081	781446	      53.466	       0.302	 42.3018251	 -88.8149926                                                                                                                      
IL	17007010601	265748925	401099	     102.606	       0.155	 42.4228772	 -88.8092898                                                                                                                      
IL	17007010602	87902803	852521	      33.939	       0.329	 42.3685178	 -88.8852332                                                                                                                       
IL	17009970400	775411261	4107588	     299.388	       1.586	 39.9720840	 -90.7145357                                                                                                                     
IL	17009970500	16107018	31720	       6.219	       0.012	 39.9764122	 -90.7567396                                                                                                                        
IL	17011964700	361103522	57849	     139.423	       0.022	 41.5301448	 -89.3248596                                                                                                                       
IL	17011964800	538653117	309721	     207.975	       0.120	 41.4918208	 -89.6937318                                                                                                                      
IL	17011964900	186950272	70934	      72.182	       0.027	 41.4381249	 -89.4587302                                                                                                                       
IL	17011965000	284049450	8123329	     109.672	       3.136	 41.3806062	 -89.3207034                                                                                                                     
IL	17011965100	45627140	26104	      17.617	       0.010	 41.3704558	 -89.1953291                                                                                                                        
IL	17011965200	15067554	1537799	       5.818	       0.594	 41.3238780	 -89.2152133                                                                                                                      
IL	17011965300	12549601	0	       4.845	       0.000	 41.3965120	 -89.4590526                                                                                                                            
IL	17011965400	27594407	0	      10.654	       0.000	 41.3550908	 -89.4517449                                                                                                                            
IL	17011965500	426481980	714128	     164.666	       0.276	 41.2631935	 -89.5472650                                                                                                                      
IL	17011965600	352708658	738546	     136.182	       0.285	 41.3202415	 -89.7471407                                                                                                                      
IL	17013951200	365980379	25919273	     141.306	      10.007	 39.3044540	 -90.7108656                                                                                                                    
IL	17013951300	291422490	51137891	     112.519	      19.744	 39.0147115	 -90.6240183                                                                                                                    
IL	17015960100	192318750	1632371	      74.255	       0.630	 42.1462688	 -89.7990338                                                                                                                     
IL	17015960200	353957127	31766457	     136.664	      12.265	 42.1216075	 -90.0794726                                                                                                                    
IL	17015960300	12025505	1981607	       4.643	       0.765	 42.0938437	 -90.1390680                                                                                                                      
IL	17015960400	115073081	37192	      44.430	       0.014	 42.0632219	 -89.9489340                                                                                                                       
IL	17015960500	289349108	29103	     111.718	       0.011	 42.0166445	 -89.7728471                                                                                                                       
IL	17015960600	189984239	20394721	      73.353	       7.874	 41.9676086	 -90.0138414                                                                                                                    
IL	17017960100	305560777	1053255	     117.978	       0.407	 39.9767511	 -90.0699742                                                                                                                     
IL	17017960200	236755923	298963	      91.412	       0.115	 39.9461927	 -90.2308629                                                                                                                      
IL	17017960300	425380577	18272123	     164.240	       7.055	 39.9892029	 -90.3735631                                                                                                                    
IL	17017960400	2245461	180183	       0.867	       0.070	 40.0056055	 -90.4354225                                                                                                                        
IL	17017960500	3403289	777023	       1.314	       0.300	 40.0266929	 -90.4146954                                                                                                                        
IL	17019000200	1415370	0	       0.546	       0.000	 40.1242035	 -88.2329099                                                                                                                             
IL	17019000301	456544	634	       0.176	       0.000	 40.1108444	 -88.2362187                                                                                                                            
IL	17019000302	427638	0	       0.165	       0.000	 40.1144692	 -88.2350976                                                                                                                              
IL	17019000401	254571	0	       0.098	       0.000	 40.1069934	 -88.2322789                                                                                                                              
