USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001400100	6894336	0	       2.662	       0.000	 37.8676275	-122.2319460                                                                                                                             
CA	06001400200	587453	0	       0.227	       0.000	 37.8481386	-122.2495967                                                                                                                              
CA	06001400300	1105329	0	       0.427	       0.000	 37.8405983	-122.2544365                                                                                                                             
CA	06001400400	714729	0	       0.276	       0.000	 37.8482803	-122.2574533                                                                                                                              
CA	06001400500	590307	0	       0.228	       0.000	 37.8485412	-122.2647277                                                                                                                              
CA	06001400600	297856	0	       0.115	       0.000	 37.8419909	-122.2648882                                                                                                                              
CA	06001400700	880302	0	       0.340	       0.000	 37.8417667	-122.2723529                                                                                                                              
CA	06001400800	697978	0	       0.269	       0.000	 37.8454758	-122.2834063                                                                                                                              
CA	06001400900	420877	0	       0.163	       0.000	 37.8394912	-122.2802646                                                                                                                              
CA	06001401000	1147049	0	       0.443	       0.000	 37.8312264	-122.2719151                                                                                                                             
CA	06001401100	883273	0	       0.341	       0.000	 37.8305038	-122.2638582                                                                                                                              
CA	06001401200	665883	0	       0.257	       0.000	 37.8306139	-122.2579002                                                                                                                              
CA	06001401300	858462	0	       0.331	       0.000	 37.8181162	-122.2666978                                                                                                                              
CA	06001401400	758241	0	       0.293	       0.000	 37.8207562	-122.2733875                                                                                                                              
CA	06001401500	467999	0	       0.181	       0.000	 37.8229333	-122.2806301                                                                                                                              
CA	06001401600	636068	0	       0.246	       0.000	 37.8173716	-122.2814825                                                                                                                              
CA	06001401700	5744703	5759028	       2.218	       2.224	 37.8225184	-122.3077741                                                                                                                       
CA	06001401800	298634	0	       0.115	       0.000	 37.8095326	-122.2982355                                                                                                                              
CA	06001402200	712081	0	       0.275	       0.000	 37.8063521	-122.2963073                                                                                                                              
CA	06001402400	337079	0	       0.130	       0.000	 37.8120310	-122.2824569                                                                                                                              
CA	06001402500	365455	0	       0.141	       0.000	 37.8057305	-122.2847803                                                                                                                              
CA	06001402600	318842	0	       0.123	       0.000	 37.8042701	-122.2799551                                                                                                                              
CA	06001402700	398820	0	       0.154	       0.000	 37.8103873	-122.2769910                                                                                                                              
CA	06001402800	398311	0	       0.154	       0.000	 37.8087180	-122.2715001                                                                                                                              
