USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MO	29001950100	656445401	2014636	     253.455	       0.778	 40.2111844	 -92.4679350                                                                                                                     
MO	29001950200	701302809	990671	     270.775	       0.383	 40.1667196	 -92.7260826                                                                                                                      
MO	29001950300	21075751	0	       8.137	       0.000	 40.2253485	 -92.6145524                                                                                                                            
MO	29001950400	19673125	29338	       7.596	       0.011	 40.2187946	 -92.5581534                                                                                                                        
MO	29001950500	68944904	2433849	      26.620	       0.940	 40.1823975	 -92.6170570                                                                                                                      
MO	29001950900	1247701	0	       0.482	       0.000	 40.1948101	 -92.5740876                                                                                                                             
MO	29001951000	672407	0	       0.260	       0.000	 40.1851462	 -92.5806204                                                                                                                              
MO	29003010100	170966422	2127127	      66.011	       0.821	 39.8548391	 -94.7532819                                                                                                                     
MO	29003010200	101041517	1040164	      39.012	       0.402	 39.9665223	 -94.8223656                                                                                                                     
MO	29003010300	320406800	2014707	     123.710	       0.778	 39.9967674	 -94.9524197                                                                                                                     
MO	29003010400	528281516	4467943	     203.971	       1.725	 40.0162976	 -94.7139923                                                                                                                     
MO	29005950100	750262388	144113	     289.678	       0.056	 40.4155563	 -95.3207625                                                                                                                      
MO	29005950200	667200281	7215071	     257.607	       2.786	 40.4474777	 -95.5562913                                                                                                                     
MO	29007950100	32573214	129777	      12.577	       0.050	 39.3059738	 -91.4929857                                                                                                                       
MO	29007950200	1048451716	6318017	     404.809	       2.439	 39.2112573	 -91.7101339                                                                                                                    
MO	29007950300	611346915	3031867	     236.042	       1.171	 39.2270823	 -92.0886961                                                                                                                     
MO	29007950400	32179332	1075372	      12.425	       0.415	 39.1853125	 -91.8483307                                                                                                                      
MO	29007950500	22281271	265408	       8.603	       0.102	 39.1995863	 -91.9008486                                                                                                                       
MO	29007950600	16983277	123195	       6.557	       0.048	 39.1637826	 -91.9227806                                                                                                                       
MO	29007950700	29064569	937316	      11.222	       0.362	 39.1441034	 -91.8647962                                                                                                                       
MO	29009960100	717624262	11287022	     277.076	       4.358	 36.7446889	 -93.7084117                                                                                                                    
MO	29009960200	450268214	834797	     173.850	       0.322	 36.8218897	 -93.9382357                                                                                                                      
MO	29009960300	38910396	79158	      15.023	       0.031	 36.9012465	 -93.9312901                                                                                                                        
MO	29009960401	338109027	2071826	     130.545	       0.800	 36.5593070	 -93.9359366                                                                                                                     
MO	29009960402	203174716	333760	      78.446	       0.129	 36.6905507	 -93.9824979                                                                                                                      
MO	29009960500	174600145	127077	      67.413	       0.049	 36.6506628	 -93.8478857                                                                                                                      
MO	29009960600	92972620	18208382	      35.897	       7.030	 36.5385340	 -93.6447981                                                                                                                     
MO	29011960100	565978799	3819445	     218.526	       1.475	 37.4961682	 -94.1817568                                                                                                                     
MO	29011960200	919004252	7414444	     354.830	       2.863	 37.5116360	 -94.4531692                                                                                                                     
MO	29011960300	48084902	1201045	      18.566	       0.464	 37.4875768	 -94.2769516                                                                                                                      
MO	29013070100	717934300	3765745	     277.196	       1.454	 38.3468483	 -94.2333393                                                                                                                     
